                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     65,               0.038783,               0.033703,               0.037397,               0.015257,                0.89319,                 0.6481,                0.71748,                 0.4945,                0.90635,                 0.6595,                0.71338,                0.54233,               0.041805,               0.027246,               0.015213,                0.01627,               0.003664,               0.003664,               0.003664
                     66,                0.03867,               0.034268,               0.036995,               0.015884,                0.89735,                 0.6481,                0.73787,                0.51878,                0.90621,                 0.6593,                0.73956,                0.55651,               0.040997,               0.026879,               0.015093,               0.015354,               0.003565,               0.003565,               0.003565
                     67,               0.037845,                0.03267,               0.035795,               0.015112,                0.94188,                0.63859,                0.75733,                0.50872,                0.94188,                0.63859,                0.72831,                0.56758,               0.041124,               0.027714,               0.015209,               0.015713,               0.003466,               0.003466,               0.003466
                     68,               0.037228,               0.031716,               0.035075,               0.014646,                0.79099,                0.54632,                0.61336,                0.43214,                0.80368,                0.57117,                0.56729,                0.39001,               0.047228,               0.038053,               0.019732,               0.018208,               0.003367,               0.003367,               0.003367
                     69,               0.036387,               0.032521,                0.03435,               0.014466,                0.93308,                0.64945,                0.73418,                0.52183,                0.93308,                0.64945,                 0.7249,                0.56249,               0.040304,               0.027837,               0.014746,               0.014553,               0.003268,               0.003268,               0.003268
                     70,               0.037099,               0.032036,               0.033478,                0.01454,                0.91493,                0.64431,                0.71738,                0.50512,                0.91493,                0.64431,                0.72054,                0.54126,               0.041129,               0.030035,               0.015287,               0.015568,               0.003169,               0.003169,               0.003169
                     71,                0.03766,               0.035987,               0.036922,               0.015298,                0.86955,                0.62214,                0.71502,                0.49616,                0.86955,                0.62214,                0.69937,                0.51677,                0.03976,               0.029843,               0.017431,               0.015121,                0.00307,                0.00307,                0.00307
                     72,               0.036911,               0.035497,               0.033657,               0.015204,                0.89358,                0.65411,                0.74204,                0.51772,                0.90508,                0.64443,                0.73406,                0.55679,               0.038569,               0.027789,               0.014982,               0.015045,               0.002971,               0.002971,               0.002971
                     73,               0.034413,               0.032626,               0.033331,               0.014085,                0.87215,                0.54223,                0.65114,                0.43383,                0.81545,                0.51991,                 0.6336,                0.44439,               0.042914,               0.032057,               0.018255,               0.017063,               0.002872,               0.002872,               0.002872
                     74,               0.036504,                0.03332,               0.034829,               0.014875,                0.89885,                0.60131,                0.70379,                0.47261,                0.89885,                0.60131,                0.71248,                0.49552,               0.041763,               0.032623,               0.016241,                0.01685,               0.002773,               0.002773,               0.002773
                     75,               0.035133,               0.033851,               0.032673,               0.014724,                0.92874,                 0.6536,                0.74581,                0.54288,                0.92978,                0.66302,                0.76764,                0.57655,               0.037984,               0.026896,               0.014078,               0.014263,               0.002674,               0.002674,               0.002674
                     76,               0.033853,               0.031903,                0.03309,               0.015174,                0.95132,                0.67065,                0.75283,                0.53463,                0.95132,                0.67065,                0.74962,                0.60703,               0.037501,               0.025119,               0.014408,               0.013964,               0.002575,               0.002575,               0.002575
                     77,                0.03428,               0.032079,               0.033457,               0.014924,                 0.9487,                0.66132,                0.76086,                0.53339,                 0.9487,                0.66132,                0.75758,                0.57937,               0.038134,               0.024311,               0.014605,               0.013474,               0.002476,               0.002476,               0.002476
                     78,               0.034183,               0.029941,               0.034285,               0.014424,                0.88735,                0.68587,                0.74762,                0.52688,                0.88735,                0.68587,                 0.7468,                0.58421,               0.038031,               0.024438,               0.014759,               0.014231,               0.002377,               0.002377,               0.002377
                     79,               0.034003,               0.031598,               0.032442,               0.014996,                0.92517,                0.66143,                0.73711,                0.49896,                0.92517,                0.66143,                0.73393,                0.56333,               0.040264,               0.025216,               0.015106,               0.014437,               0.002278,               0.002278,               0.002278
                     80,               0.034416,               0.032235,               0.031617,               0.014135,                0.85117,                0.66381,                0.72758,                0.51199,                0.86485,                0.67714,                0.73755,                0.53101,               0.038543,               0.026321,               0.015545,               0.014051,               0.002179,               0.002179,               0.002179
                     81,               0.033186,                0.03148,               0.031062,               0.013614,                0.86802,                0.66381,                0.73422,                0.52256,                0.88153,                 0.6781,                0.75136,                0.58056,               0.038159,               0.025123,                0.01507,               0.013926,                0.00208,                0.00208,                0.00208
                     82,               0.032639,               0.031591,               0.033103,               0.013951,                0.86777,                0.66518,                0.73896,                0.52824,                0.89467,                0.69143,                 0.7665,                0.56306,               0.037051,               0.024951,                0.01499,               0.013821,               0.001981,               0.001981,               0.001981
                     83,               0.032473,               0.031707,               0.031955,               0.014119,                0.91352,                0.65788,                0.78365,                0.52977,                0.91609,                0.67571,                0.78809,                 0.5781,               0.036905,               0.025427,               0.014688,               0.014431,               0.001882,               0.001882,               0.001882
                     84,               0.033414,                 0.0326,               0.032872,               0.014689,                0.91994,                0.64714,                   0.77,                0.55768,                0.90672,                0.64714,                 0.7739,                0.56994,               0.036481,               0.025669,               0.014332,               0.015121,               0.001783,               0.001783,               0.001783
                     85,               0.033079,               0.031373,               0.033035,               0.014585,                0.92341,                0.66381,                0.77163,                0.57481,                0.92341,                0.66381,                0.77546,                0.57524,               0.036016,               0.024962,               0.014521,               0.014437,               0.001684,               0.001684,               0.001684
                     86,               0.033066,               0.030478,               0.030784,               0.012836,                0.91116,                0.66381,                0.77374,                 0.5842,                0.91116,                0.66381,                0.77456,                0.58852,               0.035608,               0.024626,               0.014448,               0.014122,               0.001585,               0.001585,               0.001585
                     87,               0.032384,               0.030839,               0.031657,               0.015035,                0.91904,                0.66381,                0.76989,                0.58535,                0.91904,                0.66381,                0.76835,                0.60413,               0.034722,               0.024572,               0.014269,               0.014135,               0.001486,               0.001486,               0.001486
                     88,               0.032578,               0.030673,               0.033654,               0.012914,                0.93794,                0.65644,                0.77091,                 0.5759,                0.93794,                0.65644,                0.76656,                 0.6041,               0.035352,               0.024769,                0.01421,               0.014208,               0.001387,               0.001387,               0.001387
                     89,               0.031477,               0.031718,                0.03234,               0.013671,                0.92005,                0.68365,                 0.7631,                0.58148,                0.91507,                 0.6967,                0.78247,                0.61732,               0.034418,               0.023971,                0.01425,               0.013702,               0.001288,               0.001288,               0.001288
                     90,               0.031767,               0.031658,               0.032881,               0.014235,                0.90924,                0.69459,                0.74621,                0.55237,                0.90797,                0.69476,                0.75267,                0.59578,                0.03535,               0.023815,                0.01466,                0.01362,               0.001189,               0.001189,               0.001189
                     91,               0.032007,               0.030079,               0.029541,               0.013006,                0.91812,                0.68919,                0.77343,                 0.5815,                0.91812,                0.68919,                0.77651,                0.61407,               0.034826,               0.023391,               0.014795,               0.013147,                0.00109,                0.00109,                0.00109
                     92,               0.030669,                0.02916,               0.029601,               0.013711,                0.90604,                0.69473,                0.75293,                0.58109,                0.89943,                0.70032,                0.75328,                0.61309,               0.034798,               0.024201,               0.014856,               0.013767,               0.000991,               0.000991,               0.000991
                     93,                0.03076,               0.030669,                0.03104,               0.013708,                0.93441,                0.68033,                0.75906,                0.57854,                0.93441,                0.68033,                0.76077,                 0.6137,               0.034459,               0.024354,               0.014746,               0.013237,               0.000892,               0.000892,               0.000892
                     94,               0.030837,               0.031196,               0.030685,               0.013235,                0.92768,                0.68331,                0.78495,                0.60864,                0.92768,                0.68331,                 0.7881,                0.63165,               0.034089,                0.02431,               0.014597,               0.012955,               0.000793,               0.000793,               0.000793
                     95,               0.029766,               0.029132,               0.029497,               0.014402,                0.90511,                 0.6998,                 0.7854,                0.59674,                0.90511,                 0.6998,                0.79529,                 0.6284,               0.034926,               0.024904,               0.014706,               0.012909,               0.000694,               0.000694,               0.000694
                     96,               0.031086,               0.030294,               0.033339,               0.013409,                0.89369,                0.67604,                0.75671,                0.56844,                0.91815,                0.70495,                0.77123,                0.59356,               0.035717,               0.024514,                0.01506,               0.013063,               0.000595,               0.000595,               0.000595
                     97,                0.03007,               0.028929,               0.030011,                0.01263,                0.90485,                0.69476,                0.76839,                0.59279,                0.90412,                0.70161,                0.76819,                0.60904,               0.034171,               0.023934,               0.014725,                0.01306,               0.000496,               0.000496,               0.000496
                     98,               0.028766,               0.028366,               0.030862,               0.012547,                0.89551,                0.69476,                0.76493,                0.61205,                0.90786,                0.70693,                0.76453,                0.61409,               0.033819,               0.023681,               0.014566,               0.013044,               0.000397,               0.000397,               0.000397
                     99,               0.028943,               0.028259,               0.030945,               0.012925,                0.89785,                0.69476,                0.76167,                  0.608,                0.89785,                0.69476,                0.76167,                0.62214,               0.033586,               0.023528,                0.01445,               0.012943,               0.000298,               0.000298,               0.000298
                    100,                0.92769,                0.68318,                0.78498,                0.61036,                0.92769,                0.68318,                0.78811,                0.63046,               0.034091,               0.024308,               0.014597,               0.012953
